Date,TimeStamp,Campaign_ads_name,Project,Campaign_ads_ID,Ad_group_name,Placement_URL,Ad_type,Keywords,Currency_code,Cost,impressions,Clicks,Video_views,Conversions,Advertising_position,CR,TRUE_FALSE
5/17/2019,2019-05-17 12:01:00.999999 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_BK Pro KW_P1_Jobs_17/5,Mobile App,Responsive search ad,Financial Industry,VND,44656,2529,12,0,1,3.6,0.2,TRUE
5/18/2019,2019-05-18 13:01:01 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1_BK Pro KW_P1_Jobs_17/5,Wikidich.com,Expanded text ad,Olympic Tokyo 2020,VND,15941,60,6,0,3,2.7,0.1,TRUE
5/18/2019,2019-05-18 14:01:01 UTC,SEM_Cassandra-Search-Bank,Cassandra,1918272637,Ad group 1_ Brand KW_P1_May 17,https://www.worldbank.org/,Image ad,Republic Holiday,VND,0,15,0,0,3,2.7,0.1,TRUE
5/18/2019,2019-05-18 15:01:00.999999 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_ Brand KW_P1_May 17,https://www.nytimes.com/,Responsive search ad,API Bok,VND,36986,1751,18,0,2,3.6,0.1,TRUE
5/19/2019,2019-05-19 16:01:01 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1: Bank KW_P1_May 17,https://www.nationalgeographic.com/,Expanded text ad,Thinking about China,USD,8,65,10,0,2,2.7,0.1,TRUE
5/19/2019,2019-05-19 17:01:01 UTC,SEM_Cassandra-Search-Bank,Cassandra,1918272637,Ad group 1_BK Pro KW_P1_Jobs_17/5,https://www.howstuffworks.com/,Image ad,Energy,USD,51,1,0,0,2,3.6,0.2,TRUE
5/19/2019,2019-05-19 18:01:00.999999 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_BK Pro KW_P1_Jobs_17/5,Mobile App,Responsive search ad,National Security,USD,59,1971,26,0,2,3.6,0.2,TRUE
5/20/2019,2019-05-20 19:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-1,Galinburg,1917120641,Ad group 1_ Brand KW_P1_May 17,Wikidich.com,Expanded text ad,Innovation,USD,54,63711,387,0,2,2.7,0.2,TRUE
5/20/2019,2019-05-20 20:01:01 UTC,GDN_Fox_Display_Display-BK1,Fox,1917129835,Ad group 1_ Brand KW_P1_May 17,https://www.worldbank.org/,Image ad,Financial Industry,USD,31,54351,372,0,1,3.6,0.2,TRUE
5/20/2019,2019-05-20 21:01:00.999999 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1: Bank KW_P1_May 17,https://www.nytimes.com/,Responsive search ad,Olympic Tokyo 2021,USD,38,120,19,0,2,2.7,0.2,TRUE
5/20/2019,2019-05-20 22:01:01 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_BK Pro KW_P1_Jobs_17/5,https://www.nationalgeographic.com/,Expanded text ad,Republic Holiday,USD,96,3600,28,0,1,3.6,0.2,TRUE
5/21/2019,2019-05-21 23:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-1,Galinburg,1917120641,Ad group 1_BK Pro KW_P1_Jobs_17/5,https://www.howstuffworks.com/,Image ad,API Bok,USD,45,99701,392,0,2,2.7,0.2,TRUE
5/21/2019,2019-05-22 00:01:00.999999 UTC,GDN_Fox_Display_Display-BK1,Fox,1917129835,Ad group 1 - BK1 - All,Mobile App,Responsive search ad,Thinking about China,USD,66,95317,288,0,1,2.7,0.2,TRUE
5/21/2019,2019-05-22 01:01:01 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1 - BK1 - Placement,Wikidich.com,Expanded text ad,Energy,USD,6,154,19,0,1,3.6,0.2,TRUE
5/21/2019,2019-05-22 02:01:01 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_Topic,https://www.worldbank.org/,Image ad,National Security,USD,77,3386,29,0,1,2.7,0.2,TRUE
